User Name,User Age,User Email Address,User Gender,user_country,user_state,user_city,Subscribed,user_type
zdf,gsdg,dsfs,sdgfsd,gfdf,gfsd,ss,YES,Teacher
Abhishek kumar,23,rk.abhishek.ram@gmail.com,Male,INDIA,BIHAR,BBHAGALPUR,NO,student
refgdsf,sdfgsdfg,dsfg,sfdgfsd,gfsdfgsdsdgf,fsdgfsdgf,sfgsd,YES,
dfgsd,gfsdfgsd,sdgsdfg,sdfgsd,gsdf,dsfg,sdfg,YES,
dfgsd,gfsdfgsd,sdgsdfg,sdfgsd,gsdf,dsfg,sdfg,YES,Fresher
dfgsd,gfsdfgsd,sdgsdfg,sdfgsd,gsdf,dsfg,sdfg,YES,Fresher
dfgsd,gfsdfgsd,sdgsdfg,sdfgsd,gsdf,dsfg,sdfg,YES,Fresher
,,,,,,,NO,Entreprenur
,,,,,,,NO,Businessman
,,,,,,,NO,Teacher
,,,,,,,NO,Student
,,,,,,,NO,Fresher
sdafaa,asdf,dafa,adfsdf,asfd,afsdf,fsa,YES,Fresher
sdafaa,asdf,dafa,adfsdf,asfd,afsdf,fsa,YES,Entreprenur
sdafaa,asdf,dafa,adfsdf,asfd,afsdf,fsa,YES,Businessman
sdafaa,asdf,dafa,adfsdf,asfd,afsdf,fsa,YES,Teacher
ksahf,kdshjq,kjl,dsgh,klfsdjhq,dfshl,ldfjksghl,YES,Businessman
salkdf,lfdjsh,kjdfsk,jkdsfl,qjlhfsdlkh,;lkhfdl,lkhjdsfkl,YES,Fresher
sakj,lhfklsda,`kjfdsa,ljhldksaj,lkjhsalk,JKLDFSHALFH;jflk,jkldsl,YES,Fresher
sakj,lhfklsda,`kjfdsa,ljhldksaj,lkjhsalk,JKLDFSHALFH;jflk,,YES,Fresher
sakj,lhfklsda,`kjfdsa,ljhldksaj,lkjhsalk,JKLDFSHALFH;jflk,,YES,Fresher
sakj,lhfklsda,`kjfdsa,ljhldksaj,lkjhsalk,JKLDFSHALFH;jflk,,YES,Fresher
sakj,lhfklsda,`kjfdsa,ljhldksaj,lkjhsalk,JKLDFSHALFH;jflk,,YES,Fresher
sakj,lhfklsda,`kjfdsa,ljhldksaj,lkjhsalk,JKLDFSHALFH;jflk,DFG,YES,Fresher
SKLAHDF,,,,,,,NO,
SKLAHDF,,,,,,DFS,NO,
SAFD,,ASF,ASFAFD,,FASFDA,FASD,NO,
dsfgsd,gsdg,fsdgf,fsdfgdsfgsdfga,sadgsd,gfsdgfsd,dgfadfg,YES,Entreprenur
dsfgsd,gsdg,fsdgf,fsdfgdsfgsdfga,sadgsd,gfsdgfsd,dgfadfg,YES,Entreprenur
dsfgsd,gsdg,fsdgf,fsdfgdsfgsdfga,sadgsd,gfsdgfsd,dgfadfg,YES,Entreprenur
dsfgsd,gsdg,fsdgf,fsdfgdsfgsdfga,sadgsd,gfsdgfsd,dgfadfg,YES,Entreprenur
dsfgsd,gsdg,fsdgf,fsdfgdsfgsdfga,sadgsd,gfsdgfsd,dgfadfg,YES,Entreprenur
